"","group","group_name","seqnames","start","end","strand","name","idx","Log2FC","FDR","MeanDiff"
"6549",1,"C1","16",1804045,1804197,1,"LOC112533598",54,2.01522113334454,8.6470710559704e-74,14.5427345559938
"6548",1,"C1","16",1774847,1901383,1,"LOC107057099",53,1.90407465799855,1.92446746875124e-72,11.1345297579532
"6550",1,"C1","16",1867437,1870941,1,"LOC101748499",55,1.87189723956863,3.68624839435754e-70,6.7012978961459
"5467",1,"C1","14",442463,443814,1,"LOC107050695",3,3.30975853939091,2.63096044114114e-58,2.31050683118391
"12419",1,"C1","27",1983001,2028321,1,"NA_ENSGALG00000049096",16,3.56179039901114,9.85681196222695e-56,0.820387894995947
"15192",1,"C1","30",342012,337574,2,"UXT",24,3.04149098772133,4.47727623629972e-50,1.42429514223892
"15829",1,"C1","33",2862532,2859419,2,"NA_ENSGALG00000050409",113,3.80860278027817,4.47727623629972e-50,0.652160890820417
"15830",1,"C1","33",2920707,2953251,1,"NA_ENSGALG00000047202",114,3.86498671790539,6.84248736584757e-50,0.309475557993398
"15245",1,"C1","30",943946,947408,1,"MEPCE",77,2.75206056062274,2.21654795169262e-49,2.09259749534429
"5465",1,"C1","14",146474,154710,1,"NA_ENSGALG00000052735",1,3.41020576534542,1.2095232428081e-48,0.401307367342659
"15297",1,"C1","30",1697740,1701045,1,"RABGGTA",129,2.35956674172664,1.35980325580079e-44,2.86853633365299
"15471",1,"C1","31",2753096,2743016,2,"NA_ENSGALG00000051752",170,4.97337494645881,5.31633419323849e-43,0.680402518364758
"15472",1,"C1","31",2770923,2764910,2,"NA_ENSGALG00000051047",171,3.51113295182029,2.79918559683188e-42,0.995687863276563
"8777",1,"C1","2",52150477,52146123,2,"NA_ENSGALG00000052638",912,2.32556883680105,1.26481702578296e-41,1.5782368530589
"7436",1,"C1","18",10972550,10965481,2,"NA_ENSGALG00000050158",399,3.0993317390468,2.14456843625947e-41,0.507278048597291
"6497",1,"C1","16",506622,505178,2,"NA_ENSGALG00000031066",2,3.77425980107159,3.27345575681505e-41,0.791512148448056
"6016",1,"C1","15",174088,163019,2,"LOC112533501",12,3.72606211331021,7.17418327600561e-41,0.751699613909859
"12082",1,"C1","25",3931614,3942238,1,"UFC1",350,2.90970464364093,7.17418327600561e-41,0.931356115981929
"15378",1,"C1","31",2234063,2251704,1,"LOC107049937",77,2.29215630916252,1.28135176843725e-40,1.37574149236966
"13211",1,"C1","3",2454234,2452397,2,"NA_ENSGALG00000037957",44,1.84177108108143,2.62774507820913e-40,1.39223714748129
"15312",1,"C1","31",219390,264093,1,"NA_ENSGALG00000049344",11,4.31627673797389,2.66335813116e-40,0.207770704359065
"15311",1,"C1","31",184205,183470,2,"NA_ENSGALG00000053180",10,4.59990831736294,3.81260718838689e-40,0.93436327619788
"12391",1,"C1","26",5407518,5419029,1,"NA_ENSGALG00000046741",301,3.20854698020866,1.84180608709149e-39,0.825585525003082
"15298",1,"C1","30",1710557,1702698,2,"LOC112530973",130,2.46839311675404,7.28240516551846e-39,0.962946209361713
"15243",1,"C1","30",937708,943152,1,"LOC101747825",75,2.47870807130967,7.64044915628937e-39,1.11413188286724
"12418",1,"C1","27",1940333,1941493,1,"NA_ENSGALG00000046738",15,2.56202106376645,5.72430161245656e-38,0.83067817497099
"23341",1,"C1","Z",42839295,42837673,2,"NA_ENSGALG00000054082",676,2.39917931278921,7.01090618817958e-38,1.17132675860005
"7862",1,"C1","19",10120022,10123251,1,"NA_ENSGALG00000050465",413,3.08229446612739,9.12767477458451e-37,1.16469307366179
"6498",1,"C1","16",560397,562579,1,"NA_ENSGALG00000050490",3,2.90437548982989,2.10129433298018e-36,0.57384130479715
"15377",1,"C1","31",2232449,2226106,2,"RNASEK",76,3.11542784934441,5.24707493236622e-36,1.13234160286755
"13212",1,"C1","3",2494920,2484038,2,"NA_ENSGALG00000038727",45,1.6263914475526,1.89819954815752e-35,0.77757086331983
"16173",1,"C1","4",28073,18769,2,"NA_ENSGALG00000052756",3,3.00779831975089,2.21685474717382e-35,0.294756083550204
"15695",1,"C1","32",523649,516370,2,"GIPR",56,2.24924947419586,4.12142529278796e-35,1.17576333470441
"16008",1,"C1","33",6305520,6301741,2,"NAA40",292,2.50904975099625,7.20074167336416e-35,1.44865133431944
"12390",1,"C1","26",5403822,5400955,2,"NA_ENSGALG00000048306",300,3.54521074654076,8.90330048737237e-35,1.06311723906039
"11808",1,"C1","25",1455888,1463289,1,"DCAF11",76,2.44508821756981,1.52817004760669e-34,0.841604796076801
"15238",1,"C1","30",881052,901073,1,"LOC107050163",70,2.46611044148066,6.06488584540588e-34,0.904916736221266
"4078",1,"C1","11",2669126,2668759,2,"NA_ENSGALG00000048008",149,2.63474233821205,2.49488744685157e-33,0.629953713749062
"6632",1,"C1","16",2727011,2754145,1,"FLOT1",137,1.94390995933895,2.49488744685157e-33,1.25364378447936
"15237",1,"C1","30",879908,875944,2,"LOC107049075",69,2.24666795822192,1.03938672931604e-32,1.57316783932966
"15203",1,"C1","30",422740,417783,2,"RAD23A",35,2.18893722019915,2.64422945102885e-32,1.22961449679054
"7447",1,"C1","18",11332747,11329030,2,"TMEM107",410,2.29296802222726,5.67017302854962e-32,1.59748021236275
"16007",1,"C1","33",6301279,6294936,2,"OTUB1",291,2.22745478278465,1.29959595368547e-31,1.15434636399213
"12724",1,"C1","27",7174983,7181673,1,"MSL1",321,2.02722989823911,1.38610190568387e-31,1.10171977439943
"15246",1,"C1","30",967992,962108,2,"LOC107050626",78,1.72107000544124,1.4268535435465e-31,1.24679743893494
"16023",1,"C1","33",6416412,6421946,1,"RTN3",307,2.05489772258907,1.91772344560639e-31,1.09932142658512
"3341",1,"C1","10",530171,519307,2,"ARMC5",2,2.03968254235124,2.21712641807e-31,1.48666111678892
"16012",1,"C1","33",6336644,6332302,2,"NA_ENSGALG00000040489",296,2.48687213917647,4.88602672943521e-31,0.986624025604269
"15251",1,"C1","30",1030285,1020962,2,"LOC107051197",83,3.02632743146609,5.04186208427231e-31,0.698939154922235
"15274",1,"C1","30",1195123,1205791,1,"TNPO2",106,2.74794844685846,6.39077706226287e-31,0.877053897952156
"12417",1,"C1","27",1960848,1900324,2,"LOC107051050",14,2.60243389202805,6.91023086746827e-31,0.539097661465434
"15252",1,"C1","30",1032099,1030473,2,"NA_ENSGALG00000049767",84,3.17605514910231,7.10360214274529e-31,1.25025382094773
"7446",1,"C1","18",11328683,11328560,2,"LOC112530045",409,2.24696671938553,9.53535255246091e-31,2.99216049485349
"15296",1,"C1","30",1599599,1610811,1,"LOC101751016",128,2.37616259553456,1.06776591838939e-30,0.284963298622954
"16013",1,"C1","33",6338302,6341663,1,"LOC101751955",297,2.32096994155878,1.09885240977362e-30,1.2230824945683
"15688",1,"C1","32",436093,453802,1,"SAE1",49,2.23261951498698,1.38843641427945e-30,0.74292429119485
"16092",1,"C1","33",7030952,7021635,2,"ESYT1",376,2.1346092245513,2.42118697059008e-30,0.801419249752196
"15657",1,"C1","32",149457,157061,1,"SUPT5H",18,2.34932208506385,3.14585364328698e-30,1.12311169824438
"12081",1,"C1","25",3929942,3926370,2,"TOMM40L",349,2.65992904270371,3.98725227260886e-30,0.960056181015308
"5466",1,"C1","14",154286,144979,2,"NA_ENSGALG00000054141",2,3.19821858470266,4.98544769217301e-30,0.203678078155123
"15211",1,"C1","30",491364,674579,1,"C3",43,1.46885124330821,4.98544769217301e-30,0.938880204491815
"15253",1,"C1","30",1035393,1033306,2,"NA_ENSGALG00000051469",85,3.05006995164757,7.87111364843377e-30,1.05490015754079
"11083",1,"C1","22",3634894,3631644,2,"UBE2S",139,2.03015063455362,9.19425987313659e-30,1.34599726400712
"6020",1,"C1","15",300150,295948,2,"NA_ENSGALG00000053120",16,2.34208690880576,1.63154645908203e-29,0.38452933017237
"15696",1,"C1","32",527406,528509,1,"OPA3",57,2.33149503287123,2.77281880944638e-29,2.10659515306705
"16093",1,"C1","33",7033033,7030948,2,"NA_ENSGALG00000037941",377,2.29279607125472,2.85527753756781e-29,1.23420444295003
"12020",1,"C1","25",3465111,3456765,2,"IPO4",288,2.76963032775326,3.36556503182963e-29,0.930936715854258
"12401",1,"C1","26",5517061,5506372,2,"INO80E",311,2.78987195815846,5.87554462323886e-29,0.721685173509192
"6633",1,"C1","16",2745467,2738933,2,"TUBB",138,2.1018226770694,7.28448776058047e-29,1.17931447539471
"16160",1,"C1","33",7717518,7715050,2,"SMUG1",444,1.91264481715312,7.55449354169107e-29,1.56161725617143
"16045",1,"C1","33",6644738,6643744,2,"BANF1",329,2.16182194893036,7.55884446722049e-29,1.67300441917251
"12537",1,"C1","27",3752626,3757369,1,"NA_ENSGALG00000041926",134,1.97385406609018,2.6551207459923e-28,1.7251582298515
"13043",1,"C1","28",3402522,3411879,1,"MAP1S",222,2.01665060177674,2.92613967130379e-28,0.9881072080446
"15202",1,"C1","30",415709,402432,2,"NFIX",34,1.78675333031956,3.32055559543646e-28,0.574858307930095
"18051",1,"C1","5",234140,227858,2,"OSBP",23,1.97973300056136,4.83275547003852e-28,1.01876578975268
"15186",1,"C1","30",284544,281353,2,"SUV39H1",18,2.21996664098343,6.45568607839589e-28,1.14495364819852
"12723",1,"C1","27",7171281,7166155,2,"NR1D1",320,2.00323984075599,7.04125733544899e-28,0.944368398755281
"16014",1,"C1","33",6343077,6339683,2,"NA_ENSGALG00000050539",298,2.16758981502854,9.91294379259653e-28,1.10611175504213
"16161",1,"C1","33",7720615,7718770,2,"CBX5",445,1.99234978918558,1.13786150634419e-27,2.04903901215314
"12536",1,"C1","27",3749426,3755092,1,"ACBD4",133,2.12343973527981,1.33978020725149e-27,1.34865845546063
"16015",1,"C1","33",6342343,6345464,1,"RBP14L",299,2.15191456602532,1.45283753219195e-27,1.09992639673236
"18207",1,"C1","5",3376178,3382843,1,"NA_ENSGALG00000054156",179,1.73979742475077,2.15517892065047e-27,0.676465791682801
"13019",1,"C1","28",3146467,3172684,1,"MIDN",198,1.32477192801042,5.43293478361552e-27,1.31785135369013
"15193",1,"C1","30",362917,360298,2,"NA_ENSGALG00000047963",25,1.78597384936516,5.79592317909871e-27,0.87508029117852
"16024",1,"C1","33",6432213,6443188,1,"MARK2",308,1.98479764696794,6.59101051233778e-27,0.692095028224436
"12054",1,"C1","25",3739244,3726213,2,"PRPF3",322,1.95973840618036,1.08554615603706e-26,0.781073110285239
"16162",1,"C1","33",7724030,7729606,1,"HNRNPA1",446,1.97898978670574,1.48899812977226e-26,1.39974123003843
"12022",1,"C1","25",3468867,3466995,2,"NA_ENSGALG00000048377",290,2.53371801546172,1.73459791755104e-26,1.34422460769624
"15241",1,"C1","30",916326,914009,2,"NA_ENSGALG00000051163",73,1.95647324945214,2.0712524634517e-26,1.30748757403479
"12023",1,"C1","25",3475259,3468985,2,"NA_ENSGALG00000047898",291,2.31840129726563,2.23079733042859e-26,0.697036737141401
"12021",1,"C1","25",3466360,3464052,2,"NEDD8",289,2.58269247383716,2.26814777792037e-26,1.43331484261522
"12597",1,"C1","27",5440998,5453609,1,"UBTF",194,2.04703338443816,2.54677935579634e-26,0.696351259663045
"15209",1,"C1","30",464384,474546,1,"SLC27A1",41,1.76286760477207,2.64052600963946e-26,0.682356133148915
"15835",1,"C1","33",3046834,3044444,2,"NA_ENSGALG00000051271",119,3.3665919792844,2.70713127390999e-26,0.961475467141688
"11084",1,"C1","22",3649164,3647323,2,"NA_ENSGALG00000051860",140,3.90668735946364,3.13824720479388e-26,1.02464397159628
"18053",1,"C1","5",238695,243213,1,"STX3",25,2.08635925193499,7.55028341926418e-26,0.905107278361053
"12057",1,"C1","25",3746136,3747039,1,"NA_ENSGALG00000053884",325,2.39099559181661,1.0797090776466e-25,1.67782405341309
"18052",1,"C1","5",238674,233987,2,"PATL1",24,2.06793510614802,1.37461913028402e-25,1.06889259290924
"12820",1,"C1","27",8058802,8066741,1,"NA_ENSGALG00000054749",417,3.2979297445513,2.29052411123957e-25,0.225336455676258
"11115",1,"C1","22",4015124,4009355,2,"LOC107049542",171,2.23949336971337,2.4521908866648e-25,0.972812177641701
"15187",1,"C1","30",290414,286191,2,"TBC1D25",19,1.82347121216102,2.49064367774368e-25,1.09800702356669
"15654",1,"C1","32",136980,141334,1,"SAMD4B",15,1.84792314923665,2.54833920030861e-25,1.00451206045026
"12393",1,"C1","26",5432895,5427867,2,"NA_ENSGALG00000050325",303,2.65027197659215,4.16294219318434e-25,0.648056228248221
"15210",1,"C1","30",474865,478263,1,"PGLS",42,1.99234390843294,4.71956476616997e-25,1.19187311957868
"12598",1,"C1","27",5455014,5459571,1,"ATXN7L3",195,2.30101948977796,5.46676145145212e-25,0.754819504611603
"10666",1,"C1","21",583460,581592,2,"NA_ENSGALG00000046030",27,1.70299619185819,1.25133136547149e-24,1.45030234003007
"7448",1,"C1","18",11342654,11345814,1,"NA_ENSGALG00000052797",411,2.07379589155504,1.29676264022252e-24,0.673717094293217
"12055",1,"C1","25",3742749,3739529,2,"MRPS21",323,2.23298014420834,1.32754360511739e-24,1.257207150574
"16094",1,"C1","33",7044711,7035739,2,"PA2G4",378,1.81046490018868,1.38797425024248e-24,0.655731460716749
"12044",1,"C1","25",3663616,3654868,2,"KIAA0907",312,1.98289262000374,1.63993059441575e-24,0.828151465572115
"15242",1,"C1","30",919593,921241,1,"CLPP",74,1.91222796963306,1.63993059441575e-24,1.59738512465726
"15204",1,"C1","30",424991,422263,2,"CALR",36,2.00366134773752,2.43693618502093e-24,1.27197077401097
"16044",1,"C1","33",6629529,6630228,1,"FAU",328,2.42211941423863,2.6112265739355e-24,1.07156325504554
"16037",1,"C1","33",6544142,6538217,2,"TAF6L",321,1.86527338482876,3.10734025504707e-24,1.06019763053489
"7034",1,"C1","17",10683005,10692783,1,"SLC2A8",394,2.05207486085051,3.73518700939057e-24,1.02130003093872
"12047",1,"C1","25",3664866,3671707,1,"GOLPH3L",315,2.61154958738358,3.83673707380206e-24,0.674905102832378
"18050",1,"C1","5",225860,230151,1,"NA_ENSGALG00000052867",22,1.83135635500878,4.18485790310101e-24,0.80076579669252
